,Individual,DAPC.group,Latitude,Longitude,Korea.N.China,Yangtze.Qinling,Central.Japan,North.Japan,SE.China,South.Japan,Msa,Sichuan
199,EBI-2008-68b,S Japan,33.5,130.5,0,0,0.1,0,0,0.9,0,0
200,EBI-2008-68c,S Japan,33.5,130.5,0,0,0.1,0,0,0.9,0,0
201,EBI-2008-68d,S Japan,33.5,130.5,0,0,0.1,0,0,0.9,0,0
202,EBI-2008-68e,S Japan,33.5,130.5,0,0,0.1,0,0,0.9,0,0
203,EBI-2008-69a,S Japan,33,131.1,0,0,0.1,0,0,0.9,0,0
204,EBI-2008-69c,S Japan,33,131.1,0,0,0,0,0,1,0,0
205,EBI-2008-69d,S Japan,33,131.1,0,0,0,0,0,0.9,0,0
206,EBI-2008-69e,S Japan,33,131.1,0,0,0.1,0,0,0.9,0,0
207,EBI-2008-70a,S Japan,32.7,131.3,0,0,0.1,0,0,0.9,0,0
208,EBI-2008-70b,S Japan,32.7,131.3,0,0,0,0,0,1,0,0
209,EBI-2008-70c,S Japan,32.7,131.3,0,0,0,0,0,1,0,0
210,EBI-2008-70d,S Japan,32.7,131.3,0.2,0.2,0,0,0.1,0.5,0,0
211,EBI-2008-70e,S Japan,32.7,131.3,0,0,0.1,0,0,0.9,0,0
212,EBI-2008-71a,S Japan,32.7,131,0,0,0.1,0,0,0.8,0,0
213,EBI-2008-71b,S Japan,32.7,131,0,0,0.1,0,0,0.9,0,0
214,EBI-2008-71c,S Japan,32.7,131,0,0,0.1,0,0,0.9,0,0
215,EBI-2008-71d,S Japan,32.7,131,0,0,0.1,0,0,0.9,0,0
216,EBI-2008-71e,S Japan,32.7,131,0,0,0.1,0,0,0.9,0,0
217,EBI-2008-72a,S Japan,32.6,130.8,0,0,0.1,0,0,0.9,0,0
218,EBI-2008-72b,S Japan,32.6,130.8,0,0,0.1,0,0,0.9,0,0
219,EBI-2008-72c,S Japan,32.6,130.8,0,0,0.1,0,0,0.9,0,0
220,EBI-2008-72d,S Japan,32.6,130.8,0,0,0.1,0,0,0.9,0,0
221,EBI-2008-72e,S Japan,32.6,130.8,0,0,0.1,0,0,0.9,0,0
222,EBI-2009-01a,N Japan,43.5,143.6,0,0,0,1,0,0,0,0
223,EBI-2009-01b,N Japan,43.5,143.6,0,0,0,1,0,0,0,0
224,EBI-2009-01c,N Japan,43.5,143.6,0,0,0,1,0,0,0,0
225,EBI-2009-01d,N Japan,43.5,143.6,0,0,0,1,0,0,0,0
226,EBI-2009-02b,N Japan,43.5,143.6,0,0,0,1,0,0,0,0
227,EBI-2009-02c,N Japan,43.5,143.6,0,0,0,0.7,0,0,0.3,0
228,EBI-2009-04b,N Japan,43.5,143.7,0,0,0,1,0,0,0,0
229,EBI-2009-04c,N Japan,43.5,143.7,0,0,0,1,0,0,0,0
230,EBI-2009-04d,N Japan,43.5,143.7,0,0,0,1,0,0,0,0
231,EBI-2009-04e,N Japan,43.5,143.7,0,0,0,1,0,0,0,0
232,EBI-2009-05a,N Japan,43.5,143.7,0,0,0,1,0,0,0,0
233,EBI-2009-05b,N Japan,43.5,143.7,0,0,0,1,0,0,0,0
234,EBI-2009-05c,N Japan,43.5,143.7,0,0,0,0.9,0,0,0,0
235,EBI-2009-05d,N Japan,43.5,143.7,0,0,0,1,0,0,0,0
236,EBI-2009-05e,N Japan,43.5,143.7,0,0,0,1,0,0,0,0
237,EBI-2009-06a,N Japan,43.8,144.2,0,0,0,1,0,0,0,0
238,EBI-2009-06b,N Japan,43.8,144.2,0,0,0,1,0,0,0,0
239,EBI-2009-06c,N Japan,43.8,144.2,0,0,0,1,0,0,0,0
240,EBI-2009-08i,N Japan,43.8,144.2,0,0,0,1,0,0,0,0
241,EBI-2009-09b,N Japan,44,144.1,0,0,0,1,0,0,0,0
