"","names","x","Ind.SNP","PC","Trait"
"235","CI.mean.0.95",0.0109010933979243,"OWA122","NOPC","OWA18 "
"236","var",0.00301829587379985,"OWA122","NOPC","OWA18 "
"237","std.dev",0.0549390195926343,"OWA122","NOPC","OWA18 "
"238","coef.var",0.467398199783999,"OWA122","NOPC","OWA18 "
"239","nbr.val",100,"OWA122","NOPC","OWA19 "
"240","nbr.null",0,"OWA122","NOPC","OWA19 "
"241","nbr.na",0,"OWA122","NOPC","OWA19 "
"242","min",-0.0631290456691144,"OWA122","NOPC","OWA19 "
"243","max",0.142059242652908,"OWA122","NOPC","OWA19 "
"244","range",0.205188288322022,"OWA122","NOPC","OWA19 "
"245","sum",3.3705501478372,"OWA122","NOPC","OWA19 "
"246","median",0.029419379176722,"OWA122","NOPC","OWA19 "
"247","mean",0.033705501478372,"OWA122","NOPC","OWA19 "
"248","SE.mean",0.00405429970341027,"OWA122","NOPC","OWA19 "
"249","CI.mean.0.95",0.00804461019831845,"OWA122","NOPC","OWA19 "
"250","var",0.00164373460850726,"OWA122","NOPC","OWA19 "
"251","std.dev",0.0405429970341027,"OWA122","NOPC","OWA19 "
"252","coef.var",1.20285992659442,"OWA122","NOPC","OWA19 "
"253","nbr.val",100,"OWA122","PC1","OWA18 "
"254","nbr.null",0,"OWA122","PC1","OWA18 "
"255","nbr.na",0,"OWA122","PC1","OWA18 "
"256","min",-0.112625488353428,"OWA122","PC1","OWA18 "
"257","max",0.187216071912979,"OWA122","PC1","OWA18 "
"258","range",0.299841560266407,"OWA122","PC1","OWA18 "
"259","sum",5.98519848067257,"OWA122","PC1","OWA18 "
"260","median",0.062994984023245,"OWA122","PC1","OWA18 "
"261","mean",0.0598519848067257,"OWA122","PC1","OWA18 "
"262","SE.mean",0.0056349748233418,"OWA122","PC1","OWA18 "
"263","CI.mean.0.95",0.0111810125662375,"OWA122","PC1","OWA18 "
"264","var",0.0031752941259696,"OWA122","PC1","OWA18 "
"265","std.dev",0.056349748233418,"OWA122","PC1","OWA18 "
"266","coef.var",0.941485038723159,"OWA122","PC1","OWA18 "
"267","nbr.val",100,"OWA122","PC1","OWA19 "
"268","nbr.null",0,"OWA122","PC1","OWA19 "
"269","nbr.na",0,"OWA122","PC1","OWA19 "
"270","min",-0.166244161043246,"OWA122","PC1","OWA19 "
"271","max",0.0332343223535665,"OWA122","PC1","OWA19 "
"272","range",0.199478483396812,"OWA122","PC1","OWA19 "
"273","sum",-5.20129370746685,"OWA122","PC1","OWA19 "
"274","median",-0.0483257242618871,"OWA122","PC1","OWA19 "
"275","mean",-0.0520129370746685,"OWA122","PC1","OWA19 "
"276","SE.mean",0.00361312673176476,"OWA122","PC1","OWA19 "
"277","CI.mean.0.95",0.00716922730939766,"OWA122","PC1","OWA19 "
"278","var",0.00130546847797931,"OWA122","PC1","OWA19 "
"279","std.dev",0.0361312673176475,"OWA122","PC1","OWA19 "
"280","coef.var",-0.694659239599917,"OWA122","PC1","OWA19 "
"281","nbr.val",100,"OWA122","PC1~2","OWA18 "
"282","nbr.null",0,"OWA122","PC1~2","OWA18 "
"283","nbr.na",0,"OWA122","PC1~2","OWA18 "
"284","min",-0.105367797924152,"OWA122","PC1~2","OWA18 "
"285","max",0.20770058218296,"OWA122","PC1~2","OWA18 "
"286","range",0.313068380107112,"OWA122","PC1~2","OWA18 "
"287","sum",5.75719959843892,"OWA122","PC1~2","OWA18 "
"288","median",0.0533503313237765,"OWA122","PC1~2","OWA18 "
"289","mean",0.0575719959843892,"OWA122","PC1~2","OWA18 "
"290","SE.mean",0.00634206003158189,"OWA122","PC1~2","OWA18 "
"291","CI.mean.0.95",0.0125840230226435,"OWA122","PC1~2","OWA18 "
"292","var",0.00402217254441885,"OWA122","PC1~2","OWA18 "
"293","std.dev",0.0634206003158189,"OWA122","PC1~2","OWA18 "
"294","coef.var",1.1015876596152,"OWA122","PC1~2","OWA18 "
"295","nbr.val",100,"OWA122","PC1~2","OWA19 "
"296","nbr.null",0,"OWA122","PC1~2","OWA19 "
"297","nbr.na",0,"OWA122","PC1~2","OWA19 "
"298","min",-0.132757795041282,"OWA122","PC1~2","OWA19 "
"299","max",0.0281485647184182,"OWA122","PC1~2","OWA19 "
"300","range",0.1609063597597,"OWA122","PC1~2","OWA19 "
"301","sum",-5.81562305007381,"OWA122","PC1~2","OWA19 "
"302","median",-0.0594934973281128,"OWA122","PC1~2","OWA19 "
"303","mean",-0.0581562305007381,"OWA122","PC1~2","OWA19 "
"304","SE.mean",0.00291219799699035,"OWA122","PC1~2","OWA19 "
"305","CI.mean.0.95",0.00577843263200425,"OWA122","PC1~2","OWA19 "
"306","var",0.000848089717367458,"OWA122","PC1~2","OWA19 "
"307","std.dev",0.0291219799699035,"OWA122","PC1~2","OWA19 "
"308","coef.var",-0.500754256580193,"OWA122","PC1~2","OWA19 "
"309","nbr.val",100,"OWA122","PC1~3","OWA18 "
"310","nbr.null",0,"OWA122","PC1~3","OWA18 "
"311","nbr.na",0,"OWA122","PC1~3","OWA18 "
"312","min",-0.139246617113555,"OWA122","PC1~3","OWA18 "
"313","max",0.148685304316372,"OWA122","PC1~3","OWA18 "
"314","range",0.287931921429927,"OWA122","PC1~3","OWA18 "
"315","sum",4.95906942831026,"OWA122","PC1~3","OWA18 "
"316","median",0.0536278754672844,"OWA122","PC1~3","OWA18 "
"317","mean",0.0495906942831027,"OWA122","PC1~3","OWA18 "
"318","SE.mean",0.00622970896418531,"OWA122","PC1~3","OWA18 "
"319","CI.mean.0.95",0.0123610941301864,"OWA122","PC1~3","OWA18 "
"320","var",0.00388092737784508,"OWA122","PC1~3","OWA18 "
"321","std.dev",0.0622970896418531,"OWA122","PC1~3","OWA18 "
"322","coef.var",1.25622539757585,"OWA122","PC1~3","OWA18 "
"323","nbr.val",100,"OWA122","PC1~3","OWA19 "
"324","nbr.null",0,"OWA122","PC1~3","OWA19 "
"325","nbr.na",0,"OWA122","PC1~3","OWA19 "
"326","min",-0.305292299252325,"OWA122","PC1~3","OWA19 "
"327","max",0.0521606589704321,"OWA122","PC1~3","OWA19 "
"328","range",0.357452958222757,"OWA122","PC1~3","OWA19 "
"329","sum",-9.4150406428584,"OWA122","PC1~3","OWA19 "
"330","median",-0.0890027784444692,"OWA122","PC1~3","OWA19 "
"331","mean",-0.094150406428584,"OWA122","PC1~3","OWA19 "
"332","SE.mean",0.00660378028322257,"OWA122","PC1~3","OWA19 "
"333","CI.mean.0.95",0.0131033327825224,"OWA122","PC1~3","OWA19 "
"334","var",0.00436099140290791,"OWA122","PC1~3","OWA19 "
"335","std.dev",0.0660378028322257,"OWA122","PC1~3","OWA19 "
"336","coef.var",-0.701407517367622,"OWA122","PC1~3","OWA19 "
"337","nbr.val",100,"C106","NOPC","ADD "
"338","nbr.null",0,"C106","NOPC","ADD "
"339","nbr.na",0,"C106","NOPC","ADD "
"340","min",0.347579210044589,"C106","NOPC","ADD "
"341","max",0.47196107207308,"C106","NOPC","ADD "
"342","range",0.124381862028491,"C106","NOPC","ADD "
"343","sum",40.0022575169828,"C106","NOPC","ADD "
"344","median",0.400575641248175,"C106","NOPC","ADD "
"345","mean",0.400022575169828,"C106","NOPC","ADD "
"346","SE.mean",0.00240345861122162,"C106","NOPC","ADD "
"347","CI.mean.0.95",0.00476898331882228,"C106","NOPC","ADD "
"348","var",0.000577661329585535,"C106","NOPC","ADD "
"349","std.dev",0.0240345861122162,"C106","NOPC","ADD "
"350","coef.var",0.0600830743165243,"C106","NOPC","ADD "
"351","nbr.val",100,"C106","NOPC","AIL "
"352","nbr.null",0,"C106","NOPC","AIL "
"353","nbr.na",0,"C106","NOPC","AIL "
"354","min",0.239750140506476,"C106","NOPC","AIL "
"355","max",0.458705181866422,"C106","NOPC","AIL "
"356","range",0.218955041359946,"C106","NOPC","AIL "
"357","sum",32.4839615503308,"C106","NOPC","AIL "
"358","median",0.317382763190797,"C106","NOPC","AIL "
"359","mean",0.324839615503308,"C106","NOPC","AIL "
"360","SE.mean",0.00413300497470071,"C106","NOPC","AIL "
