Entry1,filename,Effect,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper,lambda,BackLSmeans,Backupper.CL,Backlower.CL,Individual,DAPC.group,Latitude,Longitude,group
M. sinensis  'Sirene',CmN,Entry1,3.278500825,0.23795374,132,13.77789155,2.56E-27,0.05,2.807804807,3.749196842,0.325,9.317868262,11.60891453,7.353456495,UI10-00089,Ornamental,NA,NA,M. sinensis
M. sinensis  'Stardust',CmN,Entry1,3.960526709,0.313529848,132,12.63205635,1.79E-24,0.05,3.340333679,4.580719738,0.325,12.75071003,16.53466043,9.599634502,UI10-00090,Ornamental,NA,NA,M. sinensis
M. sinensis  'Strictus',CmN,Entry1,3.021879415,0.227482328,132,13.28401833,4.27E-26,0.05,2.571896885,3.471861944,0.325,8.208046059,10.21801288,6.483637886,UI10-00092,Ornamental,NA,NA,M. sinensis
M. sinensis  'Super Stripe',CmN,Entry1,3.172787509,0.313529848,132,10.11957084,0,0.05,2.55259448,3.792980539,0.325,8.849166385,11.83955556,6.41571015,UI10-00094,Ornamental,NA,NA,M. sinensis
M. sinensis  'Undine',CmN,Entry1,2.744541492,0.214304925,132,12.80671219,6.58E-25,0.05,2.320625168,3.168457815,0.325,7.112922227,8.830316712,5.636571988,UI10-00096,Ornamental,NA,NA,M. sinensis
M. sinensis  'US47-0011',CmN,Entry1,4.990501065,0.237951781,132,20.97274093,7.48E-44,0.05,4.519808922,5.461193208,0.325,19.41136868,23.11171009,16.13331409,CANE9233,SE China/tropical,23.7,120.96,M. sinensis
M. sinensis  'US64-0004-02',CmN,Entry1,4.489422544,0.214304925,132,20.94876051,8.40E-44,0.05,4.06550622,4.913338867,0.325,15.93557741,18.84575195,13.34507309,PI294602,SE China/tropical,NA,NA,M. sinensis
M. sinensis  'Variegatus',CmN,Entry1,2.801527027,0.214304925,132,13.07262085,1.43E-25,0.05,2.377610704,3.225443351,0.325,7.329345969,9.080586087,5.821691941,UI10-00097,Ornamental,NA,NA,M. sinensis
M. sinensis  'Wetterfahne',CmN,Entry1,2.903895712,0.220277671,132,13.18288731,7.61E-26,0.05,2.468164706,3.339626717,0.325,7.729215215,9.596380871,6.124232241,UI10-00099,Ornamental,NA,NA,M. sinensis
M. sinensis  'Yaku Jima Dwarf',CmN,Entry1,2.386850458,0.214304925,132,11.137637,0,0.05,1.962934135,2.810766782,0.325,5.852089059,7.36485086,4.564461179,UI10-00101,Ornamental,NA,NA,M. sinensis
M. sinensis  'Zebrinus',CmN,Entry1,3.955739961,0.251768806,132,15.71179539,5.13E-32,0.05,3.457716378,4.453763544,0.325,12.72404332,15.70562374,10.1502537,UI10-00102,Ornamental,NA,NA,M. sinensis
M. sinensis  'Zwergzebra',CmN,Entry1,2.980947367,0.214304925,132,13.90984071,1.21E-27,0.05,2.557031043,3.40486369,0.325,8.039722383,9.899765914,6.431280279,UI10-00104,Ornamental,NA,NA,M. sinensis
M. sinensis var. condensatus  'US64-0007-01',CmN,Entry1,3.036326752,0.23794903,132,12.7604082,8.58E-25,0.05,2.565640052,3.507013452,0.325,8.268020694,10.38771413,6.461566349,PI294605,SE China/tropical,NA,NA,M. sinensis var. condensatus
M. sinensis var. condensatus 'Cabaret',CmN,Entry1,3.489015848,0.214304925,132,16.28061442,2.29E-33,0.05,3.065099524,3.912932171,0.325,10.30059123,12.48723504,8.388343744,UI10-00012,Ornamental,NA,NA,M. sinensis var. condensatus
M. sinensis var. condensatus 'Cosmopolitan',CmN,Entry1,3.143686489,0.214304925,132,14.66922187,1.67E-29,0.05,2.719770165,3.567602812,0.325,8.722993591,10.68466978,7.020204809,UI10-00015,Ornamental,NA,NA,M. sinensis var. condensatus
M. sinensis var. condensatus--UI10-00017,CmN,Entry1,3.093447061,0.220278089,132,14.04337162,5.68E-28,0.05,2.657715228,3.529178893,0.325,8.508038948,10.49569451,6.791525893,UI10-00017,Ornamental,NA,NA,M. sinensis
M. sp  'M75-062',CmN,Entry1,3.846175772,0.214304925,132,17.94721132,3.16E-37,0.05,3.422259448,4.270092095,0.325,12.12391127,14.55658087,9.981744429,PI423566,SE China/tropical,NA,NA,M. sp
M. sp  'US64-0016-03',CmN,Entry1,3.837885389,0.214304925,132,17.90852634,3.87E-37,0.05,3.413969066,4.261801713,0.325,12.079295,14.50609956,9.942618606,PI302423,SE China/tropical,NA,NA,M. sp
M. transmorrisonensis,CmN,Entry1,2.585015758,0.251767828,132,10.26745863,0,0.05,2.086994109,3.083037407,0.325,6.530080986,8.46395199,4.91909279,UI10-00106,Ornamental,NA,NA,M. transmorrisonensis
Miscanthus sacchariflorus  'PMS-071',CmN,Entry1,3.739197756,0.220278151,132,16.97489171,5.43E-35,0.05,3.303465801,4.174929711,0.325,11.55667084,13.98421107,9.430949434,PMS-071,M. sacchariflorus 2x,40.39,117.01,M. sacchariflorus
Miscanthus sacchariflorus  'PMS-074',CmN,Entry1,2.939785302,0.275130356,132,10.6850634,0,0.05,2.395550263,3.484020342,0.325,7.872818253,10.27649671,5.880807596,PMS-074,M. sacchariflorus 2x,40.13,116.17,M. sacchariflorus
Miscanthus sacchariflorus  'PMS-076',CmN,Entry1,4.259264056,0.220277689,132,19.335885,2.49E-40,0.05,3.823533015,4.694995097,0.325,14.49067106,17.30571226,12.00231722,PMS-076,M. sacchariflorus 2x,40.16,116.05,M. sacchariflorus
Miscanthus sinensis  'Malepartus',CmN,Entry1,3.227693481,0.214304925,132,15.06121936,1.87E-30,0.05,2.803777157,3.651609804,0.325,9.090565281,11.1058031,7.337981703,UI12-00002,Ornamental,NA,NA,M. sinensis
Miscanthus sinensis  'PMS-023',CmN,Entry1,3.934774453,0.220277575,132,17.86280087,4.92E-37,0.05,3.499043637,4.370505268,0.325,12.60768908,15.17745869,10.3490727,PMS-023,Sichuan,29.9,107.7,M. sinensis
Miscanthus sinensis  'PMS-067',CmN,Entry1,3.794891567,0.214304925,132,17.70790648,1.11E-36,0.05,3.370975243,4.21880789,0.325,11.8496922,14.24619846,9.741371967,PMS-067,Sichuan,30.56,104.3,M. sinensis
Miscanthus sinensis  'PMS-087',CmN,Entry1,3.565242542,0.251766138,132,14.16092955,2.92E-28,0.05,3.067224236,4.063260848,0.325,10.6729959,13.33216868,8.397275513,PMS-087,Yangtze-Qinling,31.47,110.39,M. sinensis
Miscanthus sinensis  'PMS-088',CmN,Entry1,2.896526902,0.251767828,132,11.5047539,0,0.05,2.398505253,3.394548551,0.325,7.699951262,9.851370523,5.890583783,PMS-088,Yangtze-Qinling,31.49,110.37,M. sinensis
Miscanthus sinensis  'PMS-130',CmN,Entry1,2.483714294,0.220278806,132,11.27532122,0,0.05,2.047981044,2.919447545,0.325,6.177228214,7.791222856,4.805638461,PMS-130,Yangtze-Qinling,33.46,105.14,M. sinensis
Miscanthus sinensis  'PMS-131',CmN,Entry1,2.184098192,0.254807517,132,8.571561071,0,0.05,1.680063738,2.688132647,0.325,5.209304563,6.902978559,3.821210388,PMS-131,Yangtze-Qinling,33.5,105.36,M. sinensis
Miscanthus sinensis  'PMS-161',CmN,Entry1,3.40487547,0.227477416,132,14.96797148,3.15E-30,0.05,2.954902657,3.854848282,0.325,9.899821274,12.17070294,7.933841656,PMS-161,Yangtze-Qinling,35.72,112.32,M. sinensis
Miscanthus sinensis  'PMS-164',CmN,Entry1,3.742800041,0.214304925,132,17.46483449,4.00E-36,0.05,3.318883718,4.166716365,0.325,11.5754739,13.93553507,9.501246954,PMS-164,Yangtze-Qinling,37.34,114.28,M. sinensis
Miscanthus sinensis  'PMS-204',CmN,Entry1,3.748111315,0.214304925,132,17.48961821,3.51E-36,0.05,3.324194991,4.172027638,0.325,11.60323512,13.96699898,9.525545204,PMS-204,Yangtze-Qinling,31.7,114.87,M. sinensis
Miscanthus sinensis  'PMS-226',CmN,Entry1,4.086162539,0.214304925,132,19.06704917,9.75E-40,0.05,3.662246215,4.510078862,0.325,13.46418311,16.06981739,11.15991018,PMS-226,Sichuan,26.62,106.75,M. sinensis
Miscanthus sinensis  'PMS-227',CmN,Entry1,3.727404464,0.214304925,132,17.3929949,5.86E-36,0.05,3.303488141,4.151320788,0.325,11.49525695,13.84460227,9.431051038,PMS-227,Sichuan,26.61,106.75,M. sinensis
Miscanthus sinensis  'PMS-300',CmN,Entry1,4.089102036,0.214304925,132,19.0807656,9.09E-40,0.05,3.665185712,4.513018359,0.325,13.48119116,16.08898223,11.17489462,PMS-300,M. xgiganteus 2x,30.87,120.14,M. sinensis
Miscanthus sinensis  'PMS-303',CmN,Entry1,3.487596564,0.227482328,132,15.3312857,4.19E-31,0.05,3.037614034,3.937579093,0.325,10.29374181,12.62321246,8.273378842,PMS-303,Yangtze-Qinling,30.1,119.94,M. sinensis
Miscanthus sinensis  'PMS-359',CmN,Entry1,3.41356099,0.227476536,132,15.0062114,2.55E-30,0.05,2.963589917,3.863532062,0.325,9.940695401,12.2176774,7.96905308,PMS-359,SE China/tropical,22.91,112.34,M. sinensis
Miscanthus sinensis  'PMS-375',CmN,Entry1,3.689661398,0.313529848,132,11.76813442,0,0.05,3.069468368,4.309854427,0.325,11.30019013,14.80034827,8.406716264,PMS-375,SE China/tropical,19.63,110.29,M. sinensis
Miscanthus sinensis  'PMS-381',CmN,Entry1,3.757441512,0.227482328,132,16.51750949,6.35E-34,0.05,3.307458982,4.207424041,0.325,11.6521114,14.1779124,9.449122413,PMS-381,SE China/tropical,19.01,109.65,M. sinensis
Miscanthus sinensis  'PMS-382',CmN,Entry1,3.724557526,0.227477416,132,16.37330684,1.39E-33,0.05,3.274584714,4.174530339,0.325,11.48046453,13.98184156,9.300213342,PMS-382,SE China/tropical,18.91,109.51,M. sinensis
Miscanthus sinensis  'PMS-425',CmN,Entry1,3.454587308,0.227482328,132,15.1861788,9.36E-31,0.05,3.004604779,3.904569838,0.325,10.13530611,12.44132554,8.1367209,PMS-425,Yangtze-Qinling,29.72,113.85,M. sinensis
Miscanthus sinensis  'PMS-436',CmN,Entry1,1.722611814,0.286807656,132,6.006157007,1.70E-08,0.05,1.155277922,2.289945707,0.325,3.927353951,5.538574014,2.666851982,PMS-436,Korea/N China,41.32,123.74,M. sinensis
Miscanthus sinensis  'PMS-438',CmN,Entry1,1.728554951,0.214304925,132,8.065866674,0,0.05,1.304638627,2.152471274,0.325,3.942336704,5.113547814,2.967191096,PMS-438,Korea/N China,41.33,123.69,M. sinensis
Miscanthus sinensis  'Zwergelefant',CmN,Entry1,2.788807736,0.214304925,132,13.01326948,2.01E-25,0.05,2.364891413,3.21272406,0.325,7.280659783,9.02431578,5.780022367,UI12-00001,Ornamental,NA,NA,M. sinensis
NC-2010-001 B,CmN,Entry1,2.858151222,0.313561924,132,9.11510935,0,0.05,2.237894744,3.4784077,0.325,7.548757071,10.24947101,5.374952065,NC-2010-001 B,US naturalized,35.534,-82.547,M. sinensis
NC-2010-001-009,CmN,Entry1,2.945329289,0.313529848,132,9.394095353,0,0.05,2.32513626,3.565522319,0.325,7.895160437,10.67437922,5.651079527,NC-2010-001-009,US naturalized,35.534,-82.547,M. sinensis
NC-2010-001-010,CmN,Entry1,3.687954779,0.227479822,132,16.21222815,3.33E-33,0.05,3.237977206,4.137932352,0.325,11.29142303,13.76585082,9.136267234,NC-2010-001-010,US naturalized,35.534,-82.547,M. sinensis
NC-2010-001-B(44)-e,CmN,Entry1,2.368145892,0.227477416,132,10.41046596,0,0.05,1.91817308,2.818118705,0.325,5.790665111,7.393184324,4.44087297,NC-2010-001-B(44)-e,US naturalized,35.534,-82.547,M. sinensis
NC-2010-001.5 C,CmN,Entry1,3.13871037,0.227476536,132,13.7979522,2.28E-27,0.05,2.688739298,3.588681443,0.325,8.701541028,10.78930698,6.90521386,NC-2010-001.5 C,US naturalized,35.55,-82.567,M. sinensis
NC-2010-001.5-B(18)-a,CmN,Entry1,2.683220108,0.313545563,132,8.557672081,0,0.05,2.062995993,3.303444222,0.325,6.884895524,9.430851292,4.849092142,NC-2010-001.5-B(18)-a,US naturalized,35.55,-82.567,M. sinensis
NC-2010-002-001,CmN,Entry1,3.172787509,0.313529848,132,10.11957084,0,0.05,2.55259448,3.792980539,0.325,8.849166385,11.83955556,6.41571015,NC-2010-002-001,US naturalized,35.837,-82.621,M. sinensis
NC-2010-003 D,CmN,Entry1,2.916316396,0.227482328,132,12.81996901,6.09E-25,0.05,2.466333866,3.366298926,0.325,7.778711568,9.719650187,6.118012656,NC-2010-003 D,US naturalized,35.591,-82.571,M. sinensis
NC-2010-003 E,CmN,Entry1,2.824714385,0.313545563,132,9.008943903,0,0.05,2.204490271,3.4449385,0.325,7.418665846,10.08930724,5.271683052,NC-2010-003 E,US naturalized,35.591,-82.571,M. sinensis
NC-2010-004 E,CmN,Entry1,2.546974105,0.313529848,132,8.123545876,0,0.05,1.926781075,3.167167134,0.325,6.396021989,8.824702877,4.464462546,NC-2010-004 E,US naturalized,35.758,-82.541,M. sinensis
