#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-rice-name	rice-symbol	rice-defline
37940121	Sobic.001G005800	Sobic.001G005800.1	Sobic.001G005800.1.p	PF03730,PF03731,PF08785,PF02735	PTHR12604,PTHR12604:SF4	KOG2326	3.6.4.12	K10885	GO:0006303,GO:0004003,GO:0003677,GO:0016817	AT1G48050.1	ATKU80,KU80	Ku80 family protein	LOC_Os03g63920.1		KAP-2, putative, expressed
37940639	Sobic.001G005900	Sobic.001G005900.1	Sobic.001G005900.1.p	PF01217	PTHR11043,PTHR11043:SF9					AT1G15370.1		SNARE-like superfamily protein	LOC_Os03g63910.1		PPR repeat domain containing protein, putative, expressed
37939729	Sobic.001G006000	Sobic.001G006000.1	Sobic.001G006000.1.p	PF13812,PF01535,PF13041	PTHR24015,PTHR24015:SF357					AT5G46580.1		pentatricopeptide (PPR) repeat-containing protein	LOC_Os03g63910.1		PPR repeat domain containing protein, putative, expressed
37940434	Sobic.001G006101	Sobic.001G006101.1	Sobic.001G006101.1.p	PF03171,PF14226	PTHR10209,PTHR10209:SF178	KOG0143	4.2.1.78		GO:0055114,GO:0016491	AT1G17020.1	ATSRG1,SRG1	senescence-related gene 1	LOC_Os03g63900.1		1-aminocyclopropane-1-carboxylate oxidase 2, putative, expressed
37942027	Sobic.001G006201	Sobic.001G006201.1	Sobic.001G006201.1.p	PF03171,PF14226	PTHR10209,PTHR10209:SF178	KOG0143	4.2.1.78		GO:0055114,GO:0016491	AT4G25300.1		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	LOC_Os03g63900.1		1-aminocyclopropane-1-carboxylate oxidase 2, putative, expressed
37944433	Sobic.001G006300	Sobic.001G006300.1	Sobic.001G006300.1.p							AT5G05790.1		Duplicated homeodomain-like superfamily protein	LOC_Os03g63890.1		MYB family transcription factor, putative, expressed
37941224	Sobic.001G006400	Sobic.001G006400.2	Sobic.001G006400.2.p		PTHR35284,PTHR35284:SF1					AT5G42960.1			LOC_Os03g63860.1		DANA2, putative, expressed
37940112	Sobic.001G006500	Sobic.001G006500.1	Sobic.001G006500.1.p	PF00646	PTHR32133,PTHR32133:SF131				GO:0005515	AT1G57790.1		F-box family protein	LOC_Os03g63850.1		OsFBDUF19 - F-box and DUF domain containing protein, expressed
37940454	Sobic.001G006600	Sobic.001G006600.1	Sobic.001G006600.1.p	PF03106	PTHR32096,PTHR32096:SF28				GO:0043565,GO:0006355,GO:0003700	AT1G30650.1	AR411,ATWRKY14,WRKY14	WRKY DNA-binding protein 14	LOC_Os03g63810.1		WRKY80, expressed
37940455	Sobic.001G006600	Sobic.001G006600.2	Sobic.001G006600.2.p	PF03106	PTHR32096,PTHR32096:SF28				GO:0043565,GO:0006355,GO:0003700	AT1G30650.1	AR411,ATWRKY14,WRKY14	WRKY DNA-binding protein 14	LOC_Os03g63810.1		WRKY80, expressed
37937494	Sobic.001G006700	Sobic.001G006700.2	Sobic.001G006700.2.p	PF12174	PTHR32263,PTHR32263:SF4		2.4.2.30			AT1G32230.1	ATP8,CEO,CEO1,RCD1	WWE protein-protein interaction domain protein family	LOC_Os03g63770.2		RCD1, putative, expressed
37937495	Sobic.001G006700	Sobic.001G006700.3	Sobic.001G006700.3.p	PF12174	PTHR32263,PTHR32263:SF4		2.4.2.30			AT1G32230.1	ATP8,CEO,CEO1,RCD1	WWE protein-protein interaction domain protein family	LOC_Os03g63770.3		RCD1, putative, expressed
37941161	Sobic.001G006800	Sobic.001G006800.1	Sobic.001G006800.1.p										LOC_Os03g11480.1		expressed protein
37937901	Sobic.001G006900	Sobic.001G006900.2	Sobic.001G006900.2.p	PF06955,PF00722	PTHR31062,PTHR31062:SF39		2.4.1.207	K08235	GO:0048046,GO:0016762,GO:0006073,GO:0005618,GO:0005975,GO:0004553	AT2G01850.1	ATXTH27,EXGT-A3,XTH27	endoxyloglucan transferase A3	LOC_Os03g63760.1		glycosyl hydrolases family 16, putative, expressed
37938746	Sobic.001G007000	Sobic.001G007000.1	Sobic.001G007000.1.p	PF13242	PTHR19288,PTHR19288:SF33	KOG2882	3.1.3.18	K19269		AT5G47760.1	ATPGLP2,ATPK5,PGLP2	2-phosphoglycolate phosphatase 2	LOC_Os09g08660.1		4-nitrophenylphosphatase, putative, expressed
