Effect,Entry1,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper,filename
Entry1,PMS-293,19.62596309,0.704407401,132,27.86166509,3.89E-57,0.05,18.23257563,21.01935056,Lsmean.Bcirc.xlsx
Entry1,PMS-306,17.28593757,0.704407401,132,24.53968761,4.98E-51,0.05,15.8925501,18.67932503,Lsmean.Bcirc.xlsx
Entry1,PMS-314,19.39954483,0.704407401,132,27.54023425,1.44E-56,0.05,18.00615736,20.79293229,Lsmean.Bcirc.xlsx
Entry1,PMS-347,16.84562897,0.805849468,132,20.90418824,1.04E-43,0.05,15.25157907,18.43967886,Lsmean.Bcirc.xlsx
Entry1,PMS-397,16.93356591,0.704407401,132,24.03944917,4.61E-50,0.05,15.54017845,18.32695338,Lsmean.Bcirc.xlsx
Entry1,DC-2010-001 A,2.207800173,0.27868876,237,7.922099816,0,0.05,1.658776624,2.756823721,Lsmean.CCirc.xlsx
Entry1,DC-2010-001 E,2.35289935,0.391852401,237,6.004555142,7.00E-09,0.05,1.580940711,3.124857988,Lsmean.CCirc.xlsx
Entry1,KY-2009-001 C,1.957335555,0.391852401,237,4.995083736,1.14E-06,0.05,1.185376917,2.729294194,Lsmean.CCirc.xlsx
Entry1,KY-2009-001 D,4.001161639,0.552478945,237,7.242197513,0,0.05,2.912764853,5.089558425,Lsmean.CCirc.xlsx
Entry1,KY-2009-001-B(20)-e,3.651487742,0.39184997,237,9.31858624,0,0.05,2.879533892,4.423441592,Lsmean.CCirc.xlsx
Entry1,M. floridulus  'PI295762',5.864318039,0.27868876,237,21.0425352,3.78E-56,0.05,5.31529449,6.413341587,Lsmean.CCirc.xlsx
Entry1,M. floridulus  'US56-0022-03',4.465395893,0.27868876,237,16.02287762,1.21E-39,0.05,3.916372345,5.014419441,Lsmean.CCirc.xlsx
Entry1,M. sacchariflorus  'Hortico',3.029201062,0.552593733,237,5.481786854,1.08E-07,0.05,1.940578139,4.117823984,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Adagio',0.0334688,0.552593733,237,0.0605667,0.951755324,0.05,-1.055154135,1.12209171,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Allegro',3.25450059,0.27868876,237,11.67790403,3.45E-25,0.05,2.705477042,3.803524138,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Altweibersommer',3.897314549,0.320884062,237,12.14555351,1.03E-26,0.05,3.265165242,4.529463857,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Andante',2.298247683,0.27868876,237,8.246646492,0,0.05,1.749224135,2.847271231,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Arabesque',2.466739568,0.391852401,237,6.29507325,1.00E-09,0.05,1.694780929,3.238698206,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Autumn Light',2.306637211,0.39184997,237,5.886531543,1.30E-08,0.05,1.534683361,3.078591061,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Ben Graz',1.758376621,0.27868876,237,6.309463727,1.00E-09,0.05,1.209353073,2.307400169,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Ben Rotkopf',3.664131276,0.552468187,237,6.632293701,0,0.05,2.575755683,4.75250687,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Berlin',3.383372875,0.552593733,237,6.122713074,4.00E-09,0.05,2.294749952,4.471995797,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Bitsy Ben',1.929530221,0.552468187,237,3.492563494,0.000570606,0.05,0.841154628,3.017905815,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Blondo',3.328944853,0.27868876,237,11.94502733,4.68E-26,0.05,2.779921305,3.877968401,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Bluetenwunder',2.479576557,0.552468187,237,4.488179801,1.12E-05,0.05,1.391200964,3.567952151,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Bodacious Ben',3.586284577,0.27868876,237,12.86842203,4.32E-29,0.05,3.037261029,4.135308125,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Dixieland',2.752737072,0.552478945,237,4.982519422,1.21E-06,0.05,1.664340286,3.841133858,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Emerald Shadow',3.426635468,0.27868876,237,12.29556395,3.34E-27,0.05,2.87761192,3.975659016,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Emmanuel LePage',2.328348795,0.320887844,237,7.255958249,0,0.05,1.696192039,2.960505551,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Flamingo',2.932846517,0.27868876,237,10.5237345,0,0.05,2.383822969,3.481870065,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Giraffe',2.093947726,0.27868876,237,7.513570794,0,0.05,1.544924178,2.642971274,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Gold and Silver',1.568683951,0.39184997,237,4.003276941,8.36E-05,0.05,0.796730101,2.340637801,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Goliath',3.453262383,0.27868876,237,12.39110751,1.62E-27,0.05,2.904238835,4.002285931,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Gracillimus Nana',1.80567768,0.320884062,237,5.627196526,5.20E-08,0.05,1.173528373,2.437826988,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Gracillimus'--PI295764,4.902347777,0.3208621,237,15.27867512,3.81E-37,0.05,4.270241737,5.534453818,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Gracillimus'--UI10-00048,2.542422648,0.27868876,237,9.12280298,0,0.05,1.9933991,3.091446196,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Graziella',1.132081077,0.552593733,237,2.048667961,0.0415963,0.05,0.0434582,2.220703999,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Grosse Fontaine',2.932358074,0.320884062,237,9.13837245,0,0.05,2.300208767,3.564507381,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Haiku',2.449665899,0.39184997,237,6.251540346,2.00E-09,0.05,1.677712049,3.221619749,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Huron Blush',1.837327802,0.27868876,237,6.592758902,0,0.05,1.288304254,2.38635135,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'Huron Sentinel',1.524065112,0.552468187,237,2.758647735,0.00625697,0.05,0.435689519,2.612440706,Lsmean.CCirc.xlsx
Entry1,M. sinensis  'July (Juli)',2.650641776,0.27868876,237,9.511118344,0,0.05,2.101618227,3.199665324,Lsmean.CCirc.xlsx
