Genotype,Species,DAPC group,Latitude,Longitude,South Japan,Central Japan,North Japan,Korea/N China,Sichuan,Yangtze-Qinling,SE China,Msa
KMS046,M. sinensis,Korea/N China,38.175,127.672,0.073,0.002,0,0.917,0.001,0.002,0.002,0.002
KMS048,M. sinensis,Korea/N China,38.224,127.486,0.055,0.001,0.01,0.888,0.002,0.032,0.009,0.003
KMS049,M. sinensis,Korea/N China,37.937,128.074,0.021,0.001,0.006,0.957,0,0.006,0.009,0.001
KMS050,M. sinensis,Korea/N China,38.077,128.453,0.034,0.002,0.005,0.944,0,0.01,0.001,0.002
KMS051,M. sinensis,Korea/N China,35.257,128.984,0.107,0.001,0.013,0.876,0.001,0.001,0,0
KMS053,M. sacchariflorus,M. sacchariflorus 4x,35.417,129.064,0.004,0.003,0.009,0.049,0.008,0.001,0,0.924
KMS054,M. sinensis,Korea/N China,35.676,128.437,0.105,0.001,0,0.884,0.003,0.002,0.002,0.003
KMS055,M. sinensis,Korea/N China,35.709,128.413,0.116,0.001,0.017,0.858,0.005,0.001,0.001,0.002
KMS056,M. sinensis,Korea/N China,37.044,128.237,0.102,0.001,0.005,0.887,0.002,0.002,0,0
KMS058,M. sinensis,Korea/N China,35.222,128.958,0.18,0,0.005,0.811,0,0.002,0.001,0.001
KMS059,M. sinensis,Korea/N China,36.033,128.27,0.204,0.016,0.002,0.766,0.001,0.009,0.002,0
KMS060,M. sinensis,Korea/N China,36.99,127.846,0.09,0,0.001,0.908,0,0,0,0
KMS061,M. sinensis,Korea/N China,36.068,128.266,0.195,0.001,0,0.794,0,0.01,0,0
KMS062,M. sacchariflorus,M. sacchariflorus 4x,36.339,129.061,0,0.001,0.012,0.039,0.006,0.006,0,0.936
KMS063,M. sinensis,Korea/N China,35.278,128.693,0.175,0.002,0.001,0.802,0.001,0.002,0,0.018
KMS064,M. sinensis,Korea/N China,36.524,128.689,0.113,0.002,0.018,0.855,0.001,0.005,0.002,0.006
KMS065,M. sinensis,Korea/N China,36.394,128.678,0.149,0.003,0.009,0.838,0,0.002,0.001,0
KMS066,M. sinensis,Korea/N China,36.66,128.473,0.068,0,0.002,0.916,0,0.002,0.001,0.01
KMS067,M. sinensis,Korea/N China,35.288,128.54,0.175,0.007,0.002,0.794,0.001,0.009,0.008,0.006
KMS068,M. sinensis,Korea/N China,35.212,128.282,0.116,0.001,0.007,0.862,0,0.005,0.001,0.008
KMS069a,M. sinensis,Korea/N China,36.038,129.235,0.104,0,0,0.89,0,0.001,0.002,0.003
KMS070,M. sinensis,Korea/N China,37.549,127.311,0.041,0,0.001,0.93,0,0.026,0,0
KMS071,M. sinensis,Korea/N China,37.586,126.803,0.129,0.013,0.001,0.849,0.002,0.005,0.002,0
KMS072,M. sinensis,Korea/N China,37.874,127.302,0.031,0.001,0,0.88,0.005,0.058,0.024,0.002
KMS074,M. sinensis,Korea/N China,37.987,127.017,0.004,0.001,0.001,0.982,0.004,0.002,0.006,0
KMS075,M. sinensis,Korea/N China,36.834,126.582,0.005,0.003,0.005,0.971,0,0.001,0.012,0.002
KMS076,M. sinensis,Korea/N China,35.075,126.963,0.002,0.022,0.001,0.803,0,0.169,0.002,0.001
KMS077,M. sinensis,Korea/N China,36.772,126.568,0.012,0.001,0.005,0.825,0.001,0.152,0.003,0
KMS078,M. sinensis,Korea/N China,36.29,126.923,0.001,0.003,0.002,0.839,0.004,0.149,0.001,0.001
