,Individual,DAPC.group,Latitude,Longitude,Korea.N.China,Yangtze.Qinling,Central.Japan,North.Japan,SE.China,South.Japan,Msa,Sichuan,Entry1,group,Entry
777,UI10-00025,Ornamental,NA,NA,0,0,0.2,0,0,0.6,0,0,M. sinensis  'Autumn Light',M. sinensis,17
785,UI10-00026,Ornamental,NA,NA,0.1,0,0.3,0.2,0,0.3,0.1,0,M. sinensis  'Ben Graz',M. sinensis,18
793,UI10-00027,Ornamental,NA,NA,0.1,0,0.3,0.1,0,0.4,0.2,0,M. sinensis  'Ben Rotkopf',M. sinensis,19
801,UI10-00028,Ornamental,NA,NA,0,0,0.7,0.1,0,0.2,0,0,M. sinensis  'Berlin',M. sinensis,20
809,UI10-00029,Ornamental,NA,NA,0,0,0.2,0.3,0,0.3,0.1,0,M. sinensis  'Bitsy Ben',M. sinensis,21
817,UI10-00030,Ornamental,NA,NA,0,0,0.8,0.1,0,0.1,0,0,M. sinensis  'Blondo',M. sinensis,22
825,UI10-00031,Ornamental,NA,NA,0.1,0,0.2,0.3,0,0.3,0.1,0,M. sinensis  'Bluetenwunder',M. sinensis,23
833,UI10-00032,Ornamental,NA,NA,0,0,0.5,0.2,0,0.2,0,0,M. sinensis  'Bodacious Ben',M. sinensis,24
841,UI10-00033,Ornamental,NA,NA,0,0,0.3,0.1,0,0.5,0,0,M. sinensis  'Border Bandit',M. sinensis,25
849,UI10-00035,Ornamental,NA,NA,0.2,0,0.1,0,0,0.3,0.2,0,M. sinensis  'Burgander',M. sinensis,26
857,UI10-00036,Ornamental,NA,NA,0,0,0.2,0,0,0.7,0,0,M. sinensis  'Dixieland',M. sinensis,27
865,UI10-00038,Ornamental,NA,NA,0,0,0.7,0.1,0,0.2,0,0,M. sinensis  'Emerald Shadow',M. sinensis,28
873,UI10-00039,Ornamental,NA,NA,0.1,0,0.1,0.1,0.3,0.2,0.1,0,M. sinensis  'Emmanuel LePage',M. sinensis,29
881,UI10-00040,Ornamental,NA,NA,0.2,0,0.1,0.1,0,0.3,0.2,0,M. sinensis  'Ferner Osten (Far East)',M. sinensis,30
889,UI10-00042,Ornamental,NA,NA,0.1,0,0.2,0.2,0,0.3,0.2,0,M. sinensis  'Giraffe',M. sinensis,32
897,UI10-00043,Ornamental,NA,NA,0,0,0.2,0,0.1,0.6,0,0,M. sinensis  'Gold and Silver',M. sinensis,33
905,UI10-00044,Ornamental,NA,NA,0,0,0.4,0.1,0,0.2,0.1,0,M. sinensis  'Gold Bar',M. sinensis,34
913,UI10-00045,Ornamental,NA,NA,0,0,0.8,0.1,0,0.1,0,0,M. sinensis  'Goldfeder',M. sinensis,35
921,UI10-00047,Ornamental,NA,NA,0.1,0,0.1,0.3,0,0.3,0.1,0,M. sinensis  'Goliath',M. sinensis,36
929,UI10-00048,Ornamental,NA,NA,0,0,0.2,0,0,0.6,0,0,M. sinensis  'Gracillimus'--UI10-00048,M. sinensis,39
937,UI10-00051,Ornamental,NA,NA,0,0,0.2,0,0.1,0.6,0,0,M. sinensis  'Gracillimus Nana',M. sinensis,37
945,UI10-00052,Ornamental,NA,NA,0,0,0.2,0.3,0,0.3,0.1,0,M. sinensis  'Graziella',M. sinensis,40
953,UI10-00053,Ornamental,NA,NA,0,0,0.2,0.2,0,0.5,0,0,M. sinensis  'Grosse Fontaine',M. sinensis,41
961,UI10-00056,Ornamental,NA,NA,0,0,0.5,0.2,0,0.2,0.1,0,M. sinensis  'Huron Blush',M. sinensis,43
969,UI10-00057,Ornamental,NA,NA,0.1,0,0.1,0.2,0,0.3,0.2,0,M. sinensis  'Huron Sentinel',M. sinensis,44
977,UI10-00058,Ornamental,NA,NA,0.1,0,0.2,0.2,0,0.3,0.1,0,M. sinensis  'Huron Sunrise',M. sinensis,45
985,UI10-00060,Ornamental,NA,NA,0,0,0.3,0.3,0,0.3,0,0,M. sinensis  'July (Juli)',M. sinensis,46
993,UI10-00061,Ornamental,NA,NA,0,0,0.2,0.2,0,0.5,0,0,M. sinensis  'Kaskade',M. sinensis,47
